,name,score,loc,lowest_price,category,loc2
0,영천 정 양 호텔,4.7,"영천보건소,법원 바로 옆! 위치보기☆-250.4km","45,000원",m,영천/청도
1,영천 YAM 영천터미널점,4.8,영천시외버스터미널 도보1분 (클릭)-250.8km,"40,000원",m,영천/청도
2,청도 MU(뮤) 1실1주차 무인텔,4.7,프로방스 바로 앞 ! (위치보기)-261.4km,"40,000원",m,영천/청도
3,영천 나인틴스 (19th),4.9,동영천 IC에서 1.5km/임고교차로 위치-249.9km,"40,000원",m,영천/청도
4,영천 꽃보다 무인텔,4.8,#시외버스터미널 도보 1분 // 방역 중-250.9km,"40,000원",m,영천/청도
5,영천 더 베스트 호텔,4.8,# 영천역 인근 / 최신식 호텔 / 조식서비스 제공-251.4km,"50,000원",m,영천/청도
6,청도 RIVERA(리베라) 1실1주차 무인텔,4.7,청도프로방스에서 차량 2분거리(클릭)-261.1km,"35,000원",m,영천/청도
7,청도 쉼,4.8,청도 프로방스 인근 눌러서 위치확인-261.1km,"50,000원",m,영천/청도
8,영천 씨엘(CL),4.6,영천 보건소 바로 옆에 위치눌러서 위치보기-250.4km,"40,000원",m,영천/청도
9,영천 에코,4.5,하양역까지 8km 11분거리 위치-250.6km,"27,000원",m,영천/청도
10,청도 알토,4.6,청도 프로방스 인근 위치!-260.9km,"40,000원",m,영천/청도
11,청도 용암 카무인텔,4.4,"청도 프로방스에서 차량 2분거리, 눌러서 위치보기-261.1km","50,000원",m,영천/청도
12,청도 부티크 호텔 5월,4.8,청도 프로방스 700m 거리 위치 -261.3km,"50,000원",m,영천/청도
13,영천 디데이 호텔,4.9,영천 시청인근 숭열당역-250.4km,예약마감,m,영천/청도
14,청도 369,4.8,#눌러서 위치보기-274.9km,"40,000원",m,영천/청도
15,영천 라임,4.6,대구가톨릭대학교(하양)에서 차로 15분거리-250.3km,"30,000원",m,영천/청도
16,영천 썸 무인텔,4.9,이마트영천점 인근위치입니다.-250.3km,"40,000원",m,영천/청도
17,영천 더자모텔(구 자자모텔),4.7,"은해사,팔공산도립공원 400m(위치보기)-241.1km","35,000원",m,영천/청도
18,청도 카우 무인텔,4.4,청도 프로방스 인근위치입니다.-260.9km,"35,000원",m,영천/청도
19,영천 오수동 카라,4.1,이마트영천점 인근위치-250.7km,"33,000원",m,영천/청도
20,영천 더자라,4.8,영천역 차량 12분거리(위치보기)-260km,"40,000원",m,영천/청도
21,영천 휴,3.5,완산동 주민센터 근처-251.2km,"35,000원",m,영천/청도
22,영천 궁 무인텔,4.5,금호역 간이역 3분 거리-249.6km,"40,000원",m,영천/청도
23,청도 GO(고),5.0,청도군청/교육지원청 인근-264.4km,"30,000원",m,영천/청도
24,영천 미도,4.0,#눌러서 위치보기-250.4km,"35,000원",m,영천/청도
25,영천 YOLO(욜로) 무인텔,4.3,눌러서 위치보기-240.8km,"50,000원",m,영천/청도
26,영천 드림,4.7,#하양에서 자동차로 15분거리 #눌러서 위치보기-250.3km,"25,000원",m,영천/청도
27,영천 젠,3.5,눌러서 위치보기-254.4km,"35,000원",m,영천/청도
28,영천 강변,4.4,영천교 인근 위치-250.6km,"30,000원",m,영천/청도
29,청도 마이애미,4.3,청도프로방스 인근 #눌러서 위치보기-260.8km,"35,000원",m,영천/청도
30,청도 발리,4.3,#대구한의대 근접 눌러서위치보기-264.2km,"40,000원",m,영천/청도
31,청도 다인 카모텔,4.7,청도 프로방스 2분 거리-261.1km,"40,000원",m,영천/청도
32,베니키아 청도 용암온천,3.9,청도프로방스포토랜드 차량 2분-261.4km,"79,000원",h,영천/청도
33,청도 호숫가힐튼펜션,5.0,260.8km,"70,000원",f,영천/청도
34,청도 빛축제펜션,4.9,자체픽업 가능-261.2km,"60,000원",f,영천/청도
35,청도 안골농장펜션,5.0,263.6km,"70,000원",f,영천/청도
36,청도 비슬오산골독채펜션,3.5,251.3km,"150,000원",f,영천/청도
37,청도 더포레풀빌라펜션,4.7,263.2km,"300,000원",f,영천/청도
38,청도 이슬미다육펜션,5.0,자체픽업 가능-261.7km,"80,000원",f,영천/청도
39,청도 프로방스큐피트펜션,4.7,자체픽업 가능-261.1km,"59,850원",f,영천/청도
40,청도 엔젤펜션,5.0,279.4km,"80,000원",f,영천/청도
41,청도 살아보기펜션,4.8,264.9km,"90,000원",f,영천/청도
42,청도 알펜하임펜션,5.0,278.9km,"50,000원",f,영천/청도
43,청도 멀베리펜션,3.5,263.3km,"120,000원",f,영천/청도
44,청도 미가람펜션,3.5,276.4km,"80,000원",f,영천/청도
45,청도 루지펜션,4.5,262.2km,"90,000원",f,영천/청도
46,청도 시골놀이터카라반,5.0,273.8km,"30,000원",f,영천/청도
47,청도 달빛이머무는펜션,1.0,271.9km,"100,000원",f,영천/청도
48,청도 강변돌고래펜션,4.0,272.7km,"90,000원",f,영천/청도
49,청도 크레파스펜션,5.0,자체픽업 가능-277.2km,예약마감,f,영천/청도
50,청도 풍금소리펜션,5.0,275.2km,"120,000원",f,영천/청도
51,청도 바라봄풀빌라,5.0,261.5km,"400,000원",f,영천/청도
52,청도 신난다글램핑,4.2,250.8km,"79,000원",f,영천/청도
53,청도 지성휴펜션,3.3,255.8km,"100,000원",f,영천/청도
54,청도 포시즌펜션,4.7,277.2km,"80,000원",f,영천/청도
55,청도 원더펜션,5.0,255km,"160,000원",f,영천/청도
56,청도 아델펜션,4.3,270.6km,"90,000원",f,영천/청도
57,청도 칠송펜션,5.0,274km,예약마감,f,영천/청도
58,청도 솔언덕펜션,4.5,자체픽업 가능-253.4km,"70,000원",f,영천/청도
59,청도 아리아펜션,3.5,261.3km,"80,000원",f,영천/청도
60,영천 귀애고택한옥펜션,4.7,239.8km,예약마감,f,영천/청도
61,청도 감마을펜션,4.8,261.2km,"50,000원",f,영천/청도
62,청도 아빠의캠프글램핑,4.5,271.1km,"79,000원",f,영천/청도
63,청도 프로방스펜션,4.5,자체픽업 가능-261.2km,"60,000원",f,영천/청도
64,청도 산들펜션,4.5,자체픽업 가능-253.4km,"60,000원",f,영천/청도
65,청도 꿈꾸는공작소 독채스테이,3.5,경상북도 청도군 풍각면 호동길 32-258.8km,"140,000원",g,영천/청도
