,지역,활동내용,가격,활동구분,평점,후기 수,위도,경도
0,경기도,[경기 용인] 동백 스포랜드 골프체험권,"8,900원",골프,5,6,37.27506,127.14671
1,경기도,[남이섬] 가평 가평탑랜드 번지점프,"30,000원",익스트림,4.4,14,37.80612,127.52617
2,경기도,[경기 여주] 자연촌 참숯마을,"7,900원",실내이색체험,3.8,5,37.28902,127.69937
3,경기도,[경기 용인] 스카이 패러글라이딩,"80,000원",패러글라이딩,5,2,37.31431,127.26262
4,경기도,[코로나19 힐링] 봉선사 주말 혼합형 템플스테이 (경기도/남양주),"70,000원",실내이색체험,5,2,37.74648,127.18334
5,경기도,양평 패러글라이딩 체험 비행 - 미래항공스포츠 (대한민국/경기도),"110,000원",패러글라이딩,4.6,5,37.55912,127.46325
6,경기도,[휴식형 템플스테이] 코로나19 탈출!!! 템플 '콕' 봉선사 (대한민국/남양주),"50,000원",실내이색체험,5,4,37.74648,127.18334
7,경기도,[경기 가평] 가평레져벨리카트장,"15,000원",카트/루지,4,1,37.77025,127.37047
8,경기도,[경기 수원] 플라잉수원,"17,000원",익스트림,4.5,2,37.2873,127.02605
9,경기도,[경기 용인] 플라이스테이션,"52,800원",실내이색체험,,,37.28172,127.19993
10,경기도,[경기 양평] 양평패러글라이딩 미래항공스포츠,"110,000원",패러글라이딩,,,37.28172,127.19993
11,경기도,[경기 용인] 아트리 파라다이스,"10,500원",골프,,,37.31403,127.10886
12,경기도,[경기/포천] 베어스타운 신스키 스키&보드 강습,100원,스키,5,1,37.79672,127.24829
13,경기도,[경기/협의] 누구나 다 배울 수 있는 프리다이빙! (레벨2/2일 과정) ,"300,000원",수중체험,5,1,37.2901,127.03545
14,경기도, (지산리조트) 평생 써먹을 수 있는 스키타는법 엣지있게 배우기 (스키강습),"80,000원",스키,5,1,37.21706,127.32399
15,경기도,[경기 남양주] 더드림핑 웨이브서프&수상레저(-4/30),"19,900원",요트/서핑/보트,,,37.65,127.37
16,경기도,[경기/수원] 5m 잠수풀에서 누구나 즐길 수 있는 체험 프리다이빙!,"50,000원",수중체험,,,37.2901,127.03545
17,경기도,[경기 김포] 야옹이 행성,"9,000원",실내이색체험,,,37.63,126.69
18,경기도," (지산리조트) 시즌 강습 5회, 이번 시즌 스키 완전 정복! 인클라인스키","660,000원",스키,,,37.21698,127.34483
19,경기도, (지산/곤지암리조트) 8회 스페셜 코치와 함께하는 시즌 강습,"1,500,000원",스키,,,37.21698,127.34483
20,경기도, (지산리조트) 프라이빗 쉽고 안전한 스키여행 인클라인스키,"70,000원",스키,,,37.21698,127.34483
21,경기도,(곤지암리조트) 최광휘 스키 데몬스트레이터와 함께하는 프리미엄 스키 강습,"280,000원",스키,,,37.33724,127.2953
22,경기도,[경기 안산] 안산 선부 클라이밍,"9,900원",실내이색체험,,,37.33274,126.81166
23,경기도,*35%할인*[서울/경기] 프리다이빙 원데이 자격증 따기 (예약 가능),"130,000원",수중체험,,,37.51113,127.07238
24,경기도,[체험여행] 인천 을왕리 바다보석 체험투어,"70,000원",실외이색체험,, ,37.44773,126.3725
25,경기도,[파주 헤이리] 키즈테마카페+박물관 : 이색키즈테마파크,"3,200원",실내이색체험,,,37.79153,126.69621
26,경기도,[경기 가평] 가평 짚라인 숙박패키지,"5,000원",익스트림,,,37.83981,127.4557
27,경기도,[경기 이천] 파밀리에 승마장 승마체험,"30,000원",승마/트레킹,,,37.14643,127.52962
28,서울,[서울 송파] 롯데월드 아이스링크,"12,000원",실내이색체험,4.5,45,37.5997,127.02123
29,서울,[서울 강남] 클라임이모션,"13,500원",실내이색체험,4.6,5,37.49777,127.04097
30,서울,[서울 목동] 종합사격장 이용권,"8,900원",실내이색체험,4.4,7,37.53062,126.88075
31,서울,[서울 노원] 이창현 노원클라이밍센터,"15,000원",실내이색체험,4.3,3,37.65679,127.06585
32,서울,[서울 중구]  남대문 실탄 사격장,"25,000원",실내이색체험,5,3,37.56069,126.97749
33,서울,[서울 잠실] 레전드 히어로즈 : 이색체험테마파크,"12,800원",실내이색체험,5,1,37.52112,127.10317
34,서울,[서울 동대문구] 클럽롤러힐 롤러스케이트장,"3,000원",실내이색체험,5,1,37.57328,127.06381
35,서울,[서울 강남] 슈터스클럽 사격장,"6,500원",실내이색체험,5,1,37.50345,127.02609
36,서울,[서울/서초] 한강 세빛섬 레인보우브릿지 요트투어 (반려견 동반 가능),"21,000원",요트/서핑/보트,5,1,37.51508,126.99472
37,서울,[서울/제주] 1박2일 스쿠버다이빙 자격증 코스,"99,000원",수중체험,,,37.5211,127.12662
38,서울,[서울 노원] 피노파밀리아 시즌3,"5,000원",실내이색체험,,,37.65,127.08
39,서울,[서울 혜화] 리얼샷,"2,500원",실내이색체험,,,37.56965,126.96814
40,서울,[서울/서초] 한강 세빛섬 리무진 보트투어 (반려견 동반 가능),"18,000원",요트/서핑/보트,,,37.51137,126.99468
41,서울,[서울/종로] 개성 만점! 나만을 담는 디지털 라이브 캐리커처,"15,000원",실내이색체험,,,37.57351,126.98485
42,서울,[서울 / 압구정] 리버시티 수상 스포츠,"20,000원",익스트림,,,37.5295,127.02017
43,서울,[서울/종로] 꼬장맨 리얼샷,"3,400원",실내이색체험,,,37.57,126.99
44,서울,[서울 강동] 판타지보이 롤러스케이트클럽,"14,400원",실내이색체험,,,37.54,127.12
45,서울,[서울 노원] 비숍 클라이밍,"25,000원",실내이색체험,,,37.65,127.06
46,충청남도,[충남 대천] 짚트랙,"15,000원",익스트림,4.9,7,36.32016,126.51001
47,충청남도,[부여 열기구 체험] 백마강을 따라 떠나는 1박2일 체험 (부여),"180,000원",실외이색체험,5,2,36.46646,127.13289
48,충청북도,[충북/단양] 국가대표와 함께하는 단양짱패러글라이딩,"75,000원",패러글라이딩,5,3,37.00248,128.40054
49,충청북도,[충북 단양] 패러마을 패러글라이딩,"74,000원",패러글라이딩,4,2,37.00019,128.40006
50,충청북도,[충북 단양] 코리아 패러글라이딩,"74,000원",패러글라이딩,5,1,37.00148,128.39989
51,충청남도,"[충남/태안] 안면도 꽃지카트장&ATV,고카트","18,500원",카트/루지,,,36.9965,128.39677
52,충청북도,[충북 단양] 드림레저패러글라이딩,"74,000원",패러글라이딩,4.3,3,36.98006,128.36997
53,충청남도,[골프/충남] 태안 현대더링스CC,"230,000원",골프,5,1,36.74406,126.33722
54,충청북도,[골프/충북] 보은 클럽디속리산,"258,000원",골프,,,36.44735,127.78193
55,충청북도,[골프/충북] 증평 블랙스톤 벨포레CC,"230,000원",골프,,,36.83901,127.58208
56,충청북도,[충북 단양] HKC 한국 패러글라이딩,"80,000원",패러글라이딩,,,36.9947,128.39455
57,충청북도,[충북/충주] 1박 2일 옹달샘 자연명상 스테이 ,"137,000원",실내이색체험,,,37.03858,127.75432
58,충청남도,[골프/충남] 부여 롯데스카이힐 부여CC,"285,000원",골프,,,36.30405,126.90947
59,충청북도,[골프/충북] 보은 클럽디보은CC,"230,000원",골프,,,36.50953,127.69073
60,경상북도,[골프/경북] 블루원상주CC,"355,000원",골프,,,36.33401,127.9459
61,충청북도,[골프/충북] 청주 떼제베CC,"282,000원",골프,,,36.66562,127.31903
62,충청남도,[골프/충남] 태안 골든베이CC,"280,000원",골프,,,36.7074,126.17313
63,충청북도,[충북 단양] 더쎈패러글라이딩,"75,000원",패러글라이딩,,,36.99985,128.39625
64,충청남도,[충남 대천] 국가대표 패러글라이딩,"85,000원",패러글라이딩,,,36.33,126.61
65,충청북도,[골프/충북] 서산 서산수CC,"270,000원",골프,,,36.99221,126.44335
66,충청북도,[골프/충북] 보은 클럽디속리산 & 클럽디보은,"290,000원",골프,,,36.44735,127.78193
67,강원도,[강원 춘천] 중도 물레길카누,"9,000원",요트/서핑/보트,4.6,14,37.87186,127.69035
68,강원도,[강원/춘천] 춘천 레일바이크ㅣ철길과 두발만 있다면 어디든 갈 수 있어,"35,000원",실외이색체험,5,1,37.84586,127.71163
69,강원도,[강원 춘천] 강촌 ATV 북청레저,"4,000원",카트/루지,,,37.8078,127.63893
70,강원도,[강원 춘천] 강촌역 레저 호야네+ATV+카트+서바이벌,"4,000원",카트/루지,,,37.93725,127.64155
71,강원도,[강원도/춘천] 북한강 포시즌 수상레저,"37,800원",요트/서핑/보트,5,1,37.77699,127.53901
72,강원도,[강원/춘천] 춘천 중도물레길 카누ㅣ삽질말고 노질할래?,"9,500원",요트/서핑/보트,,,37.87186,127.69035
73,강원도,"[춘천 자전거렌트+카누체험] 켠김에 왕까지, 탄김에 카누까지","19,000원",요트/서핑/보트,,,37.88577,127.71816
74,강원도,[강원/춘천] 엘리시안 강촌 퍼블릭골프,"32,000원",골프,,,37.82221,127.58983
75,강원도,[강촌] 잠빌 레저 카트+ ATV사륜바이크 자유투어,"15,000원",카트/루지,,,37.80604,127.63715
76,강원도,[강원 양양] 몬스터서퍼스,"15,000원",요트/서핑/보트,3,2,38.00669,128.72989
77,강원도,[강원 평창] 조나단 패러글라이딩,"90,000원",패러글라이딩,3,1,37.37562,128.41103
78,강원도,[강원 속초] 바다서프 서핑 강습,"65,000원",요트/서핑/보트,4.3,3,38.18622,128.60537
79,강원도,[강원 고성] 고고비치서프 서핑 입문 강습 + 종일 렌탈패키지,"70,000원",요트/서핑/보트,5,2,37.84973,127.53614
80,강원도,[골프/강원] 원주 명문CC,"407,000원",골프,4.3,3,37.43829,127.81378
81,강원도,[강촌/가평] 레저클럽 ATV/카트/서바이벌/스쿠터,"4,000원",카트/루지,,,38.81162,127.63569
82,강원도,[골프/강원] 설악 썬밸리CC,"312,000원",골프,5,1,38.31573,128.50661
83,강원도,[골프/강원] 횡성 알프스대영CC,"315,000원",골프,,,37.46342,128.07232
84,강원도,[강원/양양] 남애서프클럽 서핑강습&렌탈,"10,000원",요트/서핑/보트,5,2,37.94567,128.78257
85,강원도,[강월 영월] 동강래프팅 어라연코스와 풀패키지,"25,000원",익스트림,,,37.21732,128.52296
86,강원도,[강원 인제] 엑스게임 번지점프&슬링샷,"15,000원",익스트림,,,38.10458,128.19165
87,강원도,[쿠폰즉시할인] 20/21 비발디파크 스키 월 패스권,"140,000원",스키,,,37.64676,127.68131
88,강원도,[강원 고성] 청정해변에서 아이와 함께 안전하게 배우는 서핑 초보강습    ,"69,000원",요트/서핑/보트,,,38.32887,128.52741
89,강원도,[골프/강원] 태백 오투CC,"145,000원",골프,,,37.15956,128.94883
90,강원도,[골프/강원] 평창 알펜시아700CC,"200,000원",골프,,,37.65308,128.66052
91,강원도,[쿠폰즉시할인] 알펜시아 20/21 시즌권 2차 (~`21.01.31까지),"150,000원",스키,,,37.66237,128.65636
92,강원도,[강원/양양] 배럴 서프 스쿨,"80,000원",요트/서핑/보트,5,1,37.96996,128.76189
93,강원도,(비발디) (레슨온리) 스키강습 제이스키 스키스쿨,"120,000원",스키,5,1,37.64814,127.68312
94,강원도,[강원/고성] 서프오션 고성,"15,000원",요트/서핑/보트,5,1,38.31683,128.53168
95,강원도,[골프/강원] 삼척 블랙밸리CC,"180,000원",골프,3,1,37.22435,129.06862
96,강원도,[골프/강원] 평창 알펜시아(명문코스)CC,"270,000원",골프,5,1,37.65443,128.67173
97,강원도,[강원 평창] 알파인코스터 입장권,"14,300원",익스트림,,,37.65443,128.67173
98,강원도,[강원 인제] 인제 짚트랙,"28,000원",익스트림,,,38.01051,128.23834
99,강원도,(휘닉스파크) 현 프로선수와 함께하는 스노우보드 강습,"200,000원",스키,,,37.5835,128.32577
100,강원도,[강원/정선] (하이원) 이영하 프로의 스노우보드 강습,"300,000원",스키,,,37.20745,128.82531
101,강원도,(비발디) (풀패키지) 스키강습 제이스키 스키스쿨,"168,000원",스키,,,37.63814,127.68412
102,강원도,(휘닉스파크) 프라이빗 스노우보드 강습,"80,000원",스키,,,37.5835,128.32577
103,강원도,(휘닉스파크) 평생 써먹을 수 있는 스키타는법 엣지있게 배우기 (스키강습),"80,000원",스키,,,37.5835,128.32577
104,강원도,[골프/강원] 홍천 명문CC,"764,400원",골프,,,37.88152,128.08809
105,강원도,[골프/강원] 평창 휘닉스CC,"322,000원",골프,,,37.5897,128.33548
106,강원도,[골프/강원] 평창 용평GC&버치힐CC,"285,000원",골프,,,37.65728,128.70556
107,강원도,[골프/강원] 횡성 웰리힐리CC,"302,000원",골프,,,37.47379,128.23392
108,강원도,[골프/강원] 평창 알펜시아700CC& 강릉 샌드파인CC,"286,000원",골프,,,37.80025,128.88032
109,강원도,[골프/강원] 삼척 파인밸리CC,"255,000원",골프,,,37.37706,129.20538
110,강원도,[골프/강원] 고성 파인리즈CC,"325,000원",골프,,,38.25082,128.5385
111,강원도,[골프/강원] 속초 프라자CC,"265,000원",골프,,,38.20996,128.53543
112,강원도,"묵호, 서핑에 빠지다","70,000원",요트/서핑/보트,,,37.54991,129.10961
113,강원도,[강원 양양] 양양 기사문 38서프,"20,000원",요트/서핑/보트,,,38.01,128.73
114,강원도,[강원 영월] 동강 코리아래프팅 pkg,"25,000원",익스트림,,,37.23265,128.51298
115,강원도,(휘닉스파크) 프리미엄 스노우보드 강습 ,"200,000원",스키,,,37.5835,128.32577
116,강원도, (하이원/휘닉스) 최광휘 스키 데몬스트레이터와 함께하는 프리미엄 스키 강습,"280,000원",스키,,,37.25516,128.81633
117,전라남도,[전남] 여수 유월드 루지 테마파크 패밀리 추천상품(3월~),"17,900원",카트/루지,4.5,2,34.748,127.64122
118,전라남도,[전남] 여수 유월드 루지 테마파크 커플 추천상품(3월~),"17,900원",카트/루지,4,3,34.748,127.64122
119,전라남도,[전남 여수] 프린세스 요트 코리아 요트투어,"32,000원",요트/서핑/보트,4.9,8,34.74456,127.75051
120,전라남도,[전남/여수] 여수 아그리나 요트투어 주간/야간 이용권,"34,000원",요트/서핑/보트,5,1,34.74474,127.67388
121,전라남도,[전남 여수] 미남크루즈 여수밤바다 4월,"7,000원",크루즈,4.8,4,34.77462,127.74469
122,전라남도,[전남/여수] 국가대표 패러글라이딩,"89,000원",패러글라이딩,4.7,6,34.73289,127.73703
123,전라남도,[골프/전남] 여수 세이지우드CC,"337,000원",골프,5,1,34.71684,127.74823
124,전라남도,"[전남/여수] 지오클럽 파라세일링,익스트림보트,카타마란요트","15,000원",요트/서핑/보트,5,1,34.70678,127.70349
125,전라남도,[전남/여수] 라마다 여수 해상 짚트랙,"22,500원",익스트림,,,34.74567,127.67348
126,전라남도,[전남/여수] 페가소스요트와 함께하는 낭만여수투어,"35,000원",요트/서핑/보트,,,34.74483,127.67387
127,전라남도,[전남 여수] 퍼스트 요트투어,"35,000원",요트/서핑/보트,,,34.74481,127.67393
128,전라남도,[골프/전남] 여수 디오션CC,"240,000원",골프,,,34.65225,127.62963
129,전라남도,[전남] 여수 유월드 루지테마파크+사랑의 자물쇠 PKG(3월~),"21,900원",카트/루지,,,34.74794,127.64125
130,전라남도,[전남/여수] 오동도 모터보트(갈매기호),"48,000원",요트/서핑/보트,,,34.74291,127.75904
131,전라남도,[전남/여수] 요트 타고 떠나는 힐링 라이프 인 금오도 1박 2일 투어,"500,000원",요트/서핑/보트,,,34.74567,127.67357
132,전라남도,[전남/여수] 한국요트의 역사를 함께한 코리아요트스쿨,"20,000원",요트/서핑/보트,,,34.73838,127.65027
133,전라남도,[전남/여수] 신우요트 바이킹호 주간/야간 투어,"35,000원",요트/서핑/보트,,,34.74566,127.67358
134,전라남도,[골프/전남] 여수 디오션CC&세이지우드CC(구.여수경도),"347,000원",골프,,,34.70759,127.73099
135,전라남도,[전남/여수] 여수 아일랜드 sea에코 당일투어,"99,000원",실외이색체험,,,34.75335,127.74899
136,전라남도,[전남/여수] 여수 아일랜드 캠핑 에코투어,"145,000원",실외이색체험,,,34.75335,127.74899
137,전라남도,[전남/여수] 엑스포카트 & 해상 케이블카 패키지,"16,300원",카트/루지,4.5,2,34.74353,127.75471
138,전라남도,[전남/담양] 담양 에어로마스터 경비행기 체험 (사전예약 필수),"56,000원",익스트림,5,1,35.34692,127.02847
139,전라남도,[골프/전남] 영암 사우스링스영암CC 4인패키지,"229,000원",골프,,,34.73928,126.42488
140,전라남도,[골프/전남] 영암 사우스링스영암CC 2인패키지,"255,000원",골프,5,1,34.73928,126.42488
141,전라북도,[전북 군산] 패러글라이딩 스쿨,"75,000원",패러글라이딩,4.7,3,36.00017,126.78996
142,전라북도,[골프/전북] 남원 드래곤레이크CC,"200,000원",골프,,,35.43524,127.34147
143,전라북도,[전북/전주] 한옥 레일 바이크 탑승권,"18,000원",실외이색체험,,,35.83043,127.17587
144,전라남도,[골프/전남] 여수 세이지우드CC,"337,000원",골프,5,1,34.71333,127.72511
145,전라남도,[골프/전남] 순천 골프존카운티 순천CC,"150,000원",골프,5,2,35.05337,127.30504
146,전라북도,[골프/전북] 고창CC,"205,000원",골프,,,35.51609,126.5023
147,전라북도,[골프/전북] 무주 덕유산CC,"235,000원",골프,,,35.88474,127.72315
148,전라북도,[골프/전북] 고창 석정힐CC,"220,000원",골프,,,35.42589,126.73894
149,전라남도,[전남/보성] 벌교의 청년과 함께 하는 '벌교 체험 패키지' 투어,"20,000원",실외이색체험,,,34.8476,127.33883
150,전라북도,[전북 순창] 총댕이 서바이벌 체험 패키지,"69,900원",실외이색체험,,,35.52404,127.01442
151,전라남도,[골프/전남] 화순 화순권 골프,"245,000원",골프,,,34.79186,126.90928
152,전라남도,[골프/전남] 나주 골드레이크CC,"299,000원",골프,,,34.9596,126.87342
153,전라남도,[골프/전남] 해남 파인비치CC,"297,000원",골프,,,34.69774,126.26122
154,전라북도,[골프/전북]  장수CC,"195,000원",골프,,,35.6793,127.59659
155,전라남도,[골프/전남] 화순권CC & 해피니스CC,"285,000원",골프,,,34.79186,126.90928
156,전라남도,[골프/전남] 순천 승주CC,"282,000원",골프,,,34.90178,127.4486
157,전라남도,[골프/전남] 화순 화순권CC &골드레이크CC,"255,000원",골프,,,35.6793,127.59659
158,전라남도,[골프/전남] 보성CC,"180,000원",골프,,,34.81706,126.75635
159,전라남도,[골프/전남] 강진 다산베아채CC,"210,000원",골프,,,34.55094,127.22147
160,전라남도,[골프/전남] 영암 아크로CC,"210,000원",골프,,,34.86709,126.78913
161,전라남도,[골프/전남] 영광CC,"230,000원",골프,,,35.35536,126.41153
162,전라남도,[골프/전남] 담양 레이나CC,"220,000원",골프,,,35.3103,127.01734
163,전라북도,[골프/전북] 남원 상록CC,"180,000원",골프,,,35.41801,127.29719
164,전라남도,[골프/전남] 장흥 JNJ(정남진)CC,"205,000원",골프,,,34.79944,126.96991
165,전라남도,[골프/전남] 순천 파인힐스CC ,"199,000원",골프,,,35.03461,127.27235
166,전라남도,[전남 곡성] 기차마을 패러글라이딩,"100,000원",패러글라이딩,,,36.98,128.37
167,전라북도,[전북] 반려동물과 함께하는 캠핑(차박) 상품,"38,900원",실외이색체험,,,35.71616,127.04818
168,전라북도,[전북 남원] 나도 비행기조종사 k-1항공,"55,000원",익스트림,,,35.46018,127.42995
169,부산,[부산 해운대]  G퍼블릭투어 : 요트체험,"12,000원",요트/서핑/보트,4.9,54,35.16113,129.14052
170,부산,[부산 해운대] 보트앤 요트투어 : 요트체험,"20,000원",요트/서핑/보트,4.6,10,35.1612,129.14044
171,부산,[부산/해운대] 더베이101 요트클럽 : 요트투어,"10,000원",요트/서핑/보트,4.6,9,35.16307,129.16351
172,부산,[부산 해운대] 송정서핑 / 해운대 캐치웨이브 서핑강습,"39,900원",요트/서핑/보트,5,3,35.18127,129.20301
173,부산,[부산/광안리] 서프마린 패들보드 강습 & 장비 대여,"40,000원",요트/서핑/보트,4.5,6,35.16945,129.11751
174,부산,[부산 해운대] 벡스코 상상체험 키즈월드,"13,500원",키즈,4.5,2,35.16594,129.13502
175,부산,[부산 해운대] 요트탈래 : 요트투어,"10,000원",요트/서핑/보트,4,2,35.15655,129.15236
176,부산,[부산/해운대] 요트포유 부산 요트투어 (퍼블릭/프라이빗),"20,000원",요트/서핑/보트,5,1,35.15987,129.1397
177,부산,[부산/해운대] 데일리스 요트,"20,000원",요트/서핑/보트,5,2,35.18026,129.2009
178,부산,[부산 해운대] 서핑강습 써피써피,"25,000원",요트/서핑/보트,5,2,35.16008,129.14053
179,부산,[부산/해운대] 서프베이 서핑 강습,"50,000원",요트/서핑/보트,4,1,35.17661,129.1964
180,부산,[부산 진구] 콩VR : VR체험,"4,500원",실내이색체험,2,2,35.15987,129.15957
181,부산,[부산 해운대] 부산요트투어 더요트,"10,000원",요트/서핑/보트,,,35.16375,129.14088
182,부산,[부산/송정] 멜로우서프 서핑강습 & 장비 대여,"65,000원",요트/서핑/보트,,,35.17929,129.19848
183,부산,[부산/송정] 서프로드 서핑 강습,"50,000원",요트/서핑/보트,5,2,35.18132,129.20218
184,부산,"[부산/송정] 서퍼들의 쉼터, 엉클서프와 함께하는 서핑체험 ","20,000원",요트/서핑/보트,,,35.1812,129.20195
185,부산,[부산/해운대] 리버크루즈 탑승권 (주/야간),"10,000원",크루즈,,,35.1679,129.12766
186,부산,[부산 광안리] 광안리 요트투어,"10,000원",요트/서핑/보트,,,35.16025,129.13933
187,부산,[부산 북구] 화명 수상레포츠타운,"7,900원",요트/서핑/보트,,,35.2203,128.99893
188,부산,[부산/해운대] 와우요트 퍼블릭 투어,"30,000원",요트/서핑/보트,,,35.16037,129.14079
189,부산,[부산/해운대] 특별한 추억을 만드는 요트 스테이,"180,000원",요트/서핑/보트,,,35.16112,129.14052
190,부산,[부산/해운대] 부산 해운대 프라이빗 요트 투어 ,"230,000원",요트/서핑/보트,,,35.16016,129.14056
191,부산,[부산/해운대] 부산 해운대 퍼블릭 요트 투어,"30,000원",요트/서핑/보트,,,35.16016,129.14056
192,부산,[부산/해운대] 요트랑 요트투어,"20,000원",요트/서핑/보트,,,35.16112,129.14058
193,부산,[부산/송정] 서프닥터와 함께하는 소수강습 서핑,"55,000원",요트/서핑/보트,,,35.17576,129.19694
194,부산,[부산/송정] 서프홀릭과 함께하는 부산바다 서핑,"65,000원",요트/서핑/보트,,,35.18018,129.20059
195,부산,[부산/광안] 솔게스트하우스 광안리 서핑 체험 클래스,"50,000원",요트/서핑/보트,,,35.16131,129.11665
196,부산,[부산/해운대] 와우 요트투어,"20,000원",요트/서핑/보트,,,35.16016,129.14056
197,부산,[부산/해운대] 요트포유 부산 요트스테이 1박,"450,000원",요트/서핑/보트,,,35.15902,129.14097
198,부산,[부산/송정] 송정 해수욕장에서 즐기는 몽키서프,"65,000원",요트/서핑/보트,,,35.17667,129.19588
199,부산,[부산 해운대] 와우 요트 퍼블릭 투어,"9,000원",요트/서핑/보트,,,35.16016,129.14056
200,부산,[부산] 해운대 요트투어,"10,000원",요트/서핑/보트,,,35.15673,129.15013
201,부산,[부산 해운대] 요트월드 : 요트투어,"10,000원",요트/서핑/보트,,,35.16091,129.13862
202,부산,[부산 해운대] 부산 요트 투어,"10,000원",요트/서핑/보트,,,35.16016,129.14056
203,부산,[부산 해운대] 낭만요트,"20,000원",요트/서핑/보트,,,35.16016,129.14056
204,부산,[부산/해운대] 요트홀릭 부산 럭셔리 요트 투어,"30,000원",요트/서핑/보트,,,35.159765,129.14074
205,경상북도,[경북 상주] 활공랜드,"65,000원",패러글라이딩 ,4.3,4,36.46464,128.2747
206,경상남도,[경남 합천] 합천 국보테마파크 루지 이용권,"10,000원",카트/루지,4.5,2,35.58332,128.09173
207,경상남도,[경남 통영] 오션브리즈 요트투어,"14,000원",요트/서핑/보트,5,9,34.81158,128.429
208,경상남도,[경남 통영] 스카이라인 루지 통영,"35,000원",카트/루지,4.7,6,34.82488,128.42434
209,경상북도,[경북 경주] 경주 입실온천&골프(구 그린힐스파),"5,100원",골프,5,1,35.71705,129.33795
210,경상북도,[경북 경주] 캠프VR 경주 밀레니엄점,"16,000원",실내이색체험,5,4,35.83872,129.28783
211,경상남도,[통영인기] 어드벤처타워 이용권,"9,600원",익스트림,,,34.825,128.42239
212,경상남도,[통영인기]  VR존 이용권,"9,600원",실내이색체험,,,34.8473,128.42375
213,경상북도,[골프/경북] 예천 한맥CC,"215,000원",골프,,,36.65832,128.5211
214,경상북도,[경북 포항] 요트데이 요트투어,"15,000원",요트/서핑/보트,5,1,36.06707,129.38408
215,경상남도,[골프/경남] 거제 드비치 CC - 별도문의,"365,000원",골프,,,35.01514,128.67376
216,경상남도,[경남 통영] 아시아최대규모 더 카트 인 통영,"15,200원",카트/루지,,,34.90631,128.3536
217,대구,[대구] 아이니 키즈 시티랜드,"5,000원",키즈,,,35.88537,128.58981
218,경상남도,[경남/양산] (에덴밸리리조트) SM 스키캠프,"149,600원",스키,,,35.42967,128.98545
